id,title,vendor,price_range,variants_count,accessories,battery_health,warranty,url,image_path
1,iPhone 13 Pro Max,Apple,"16,100 - 20,100 บาท",60,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/iphone-13-pro-max,data/images/compasia/iphone-13-pro-max/img_1.png
2,iPhone 14 Pro Max,Apple,"20,400 - 24,400 บาท",48,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/iphone-14-pro-max,data/images/compasia/iphone-14-pro-max/img_1.png
3,iPhone 12 Pro Max,Apple,"11,500 - 14,500 บาท",36,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/iphone-12-pro-max,data/images/compasia/iphone-12-pro-max/img_1.png
4,iPhone 15 Pro Max,Apple,"25,700 - 28,700 บาท",36,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/iphone-15-pro-max,data/images/compasia/iphone-15-pro-max/img_1.png
5,iPhone 16 pro,Apple,"25,300 - 29,900 บาท",48,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/payday❤️‍🔥-iphone-16-pro,data/images/compasia/payday❤️‍🔥-iphone-16-pro/img_1.jpg
6,iPhone 12,Apple,"7,000 - 10,000 บาท",54,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/iphone-12,data/images/compasia/iphone-12/img_1.png
7,iPhone 14,Apple,"12,400 - 15,400 บาท",54,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/iphone-14,data/images/compasia/iphone-14/img_1.png
8,iPhone 16 pro max,Apple,"31,800 - 36,800 บาท",36,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/iphone-16-pro-max,data/images/compasia/iphone-16-pro-max/img_1.jpg
9,ลดพิเศษ Galaxy S24 Ultra,Samsung,"18,600 - 21,600 บาท",63,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/ลดพิเศษ-galaxy-s24-ultra,data/images/compasia/ลดพิเศษ-galaxy-s24-ultra/img_1.png
10,iPhone 15,Apple,"16,500 - 19,500 บาท",45,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/payday❤️‍🔥-iphone-15,data/images/compasia/payday❤️‍🔥-iphone-15/img_1.png
11,iPhone 15 Pro,Apple,"20,900 - 24,900 บาท",48,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/iphone-15-pro,data/images/compasia/iphone-15-pro/img_1.png
12,iPhone 16,Apple,"19,150 - 22,150 บาท",45,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/iphone-16,data/images/compasia/iphone-16/img_1.png
13,Galaxy S25 Ultra,Samsung,"25,000 - 28,000 บาท",63,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/payday❤️‍🔥-galaxy-s25-ultra,data/images/compasia/payday❤️‍🔥-galaxy-s25-ultra/img_1.jpg
14,iPhone 15 Plus,Apple,"18,200 - 20,200 บาท",30,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/payday❤️‍🔥-iphone-15-plus,data/images/compasia/payday❤️‍🔥-iphone-15-plus/img_1.png
15,Galaxy Z Flip 6,Samsung,"11,500 - 13,500 บาท",30,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/payday❤️‍🔥-galaxy-flip-6,data/images/compasia/payday❤️‍🔥-galaxy-flip-6/img_1.jpg
16,Galaxy S24 Plus,Samsung,"14,400 - 16,400 บาท",30,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/payday❤️‍🔥galaxy-s24-plus,data/images/compasia/payday❤️‍🔥galaxy-s24-plus/img_1.jpg
17,Galaxy S24 FE,Samsung,"9,000 - 11,000 บาท",18,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/payday❤️‍🔥galaxy-s24-fe,data/images/compasia/payday❤️‍🔥galaxy-s24-fe/img_1.jpg
18,iPhone 16 plus,Apple,"22,600 - 25,600 บาท",45,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/payday❤️‍🔥-iphone-16-plus,data/images/compasia/payday❤️‍🔥-iphone-16-plus/img_1.jpg
19,iPhone 17,Apple,"24,900 - 26,900 บาท",30,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีหัวชาร์จและสายชาร์จ,สุขภาพแบตเริ่มต้น 80 -100 %,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/iphone-17,data/images/compasia/iphone-17/img_1.jpg
20,Battery Health - iPhone 13 Pro,Apple,"13,300 - 16,300 บาท",45,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบตยังคงสูงกว่า  95%),รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/battery-health-iphone-13-pro,data/images/compasia/battery-health-iphone-13-pro/img_1.png
21,Battery Health - iPhone 13 Pro Max,Apple,"16,100 - 20,100 บาท",60,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบตยังคงสูงกว่า  95%),รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/battery-health-iphone-13-pro-max,data/images/compasia/battery-health-iphone-13-pro-max/img_1.png
